nro;nro_f;uniorcam;janeiro;fevereiro;marco;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro;meta1bim;meta2bim;meta3bim;meta4bim;meta5bim;meta6bim;cp;rv
11180232010000000000;1.1.1.8.02.3.2.01.00.00;201;345,68;191,00;68,71;67,77;201,08;89,20;80,87;47,33;75,01;108,82;0,00;0,00;331,80;331,80;331,80;331,80;331,80;331,85;0;1
11180232020000000000;1.1.1.8.02.3.2.02.00.00;201;144,04;79,59;28,63;28,24;83,78;37,17;33,70;19,73;31,26;45,36;0,00;0,00;138,26;138,26;138,26;138,26;138,26;138,22;0;20
11180232030000000000;1.1.1.8.02.3.2.03.00.00;201;86,43;47,75;17,18;16,94;50,27;22,30;20,22;11,84;18,75;27,21;0,00;0,00;82,96;82,96;82,96;82,96;82,96;82,91;0;40
11180233000000000000;1.1.1.8.02.3.3.00.00.00;201;0,00;0,00;0,00;0,00;126,38;91,70;0,00;0,00;50,28;475,24;0,00;0,00;45,90;45,90;45,90;45,90;45,90;45,82;0;0
11180233010000000000;1.1.1.8.02.3.3.01.00.00;201;0,00;0,00;0,00;0,00;75,82;55,01;0,00;0,00;30,17;285,14;0,00;0,00;27,54;27,54;27,54;27,54;27,54;27,49;0;1
11180233020000000000;1.1.1.8.02.3.3.02.00.00;201;0,00;0,00;0,00;0,00;31,60;22,93;0,00;0,00;12,57;118,81;0,00;0,00;11,48;11,48;11,48;11,48;11,48;11,43;0;20
11180233030000000000;1.1.1.8.02.3.3.03.00.00;201;0,00;0,00;0,00;0,00;18,96;13,76;0,00;0,00;7,54;71,29;0,00;0,00;6,88;6,88;6,88;6,88;6,88;6,90;0;40
11180234000000000000;1.1.1.8.02.3.4.00.00.00;201;0,00;0,00;0,00;0,00;28,71;18,30;0,00;0,00;7,81;152,65;0,00;0,00;13,46;13,46;13,46;13,46;13,46;13,54;0;0
11180234010000000000;1.1.1.8.02.3.4.01.00.00;201;0,00;0,00;0,00;0,00;17,22;10,97;0,00;0,00;4,69;91,60;0,00;0,00;8,08;8,08;8,08;8,08;8,08;8,10;0;1
11180234020000000000;1.1.1.8.02.3.4.02.00.00;201;0,00;0,00;0,00;0,00;7,18;4,58;0,00;0,00;1,95;38,16;0,00;0,00;3,36;3,36;3,36;3,36;3,36;3,41;0;20
11180234030000000000;1.1.1.8.02.3.4.03.00.00;201;0,00;0,00;0,00;0,00;4,31;2,75;0,00;0,00;1,17;22,89;0,00;0,00;2,02;2,02;2,02;2,02;2,02;2,03;0;40
11200000000000000000;1.1.2.0.00.0.0.00.00.00;201;1.855,27;5.333,66;5.498,11;4.145,41;5.098,68;5.544,37;5.349,22;6.835,93;24.044,16;7.855,09;0,00;0,00;6.838,02;6.838,02;6.838,02;6.838,02;6.838,02;6.838,03;0;0
11220000000000000000;1.1.2.2.00.0.0.00.00.00;201;767,99;2.183,19;2.481,00;1.502,98;1.805,00;1.144,00;1.113,48;1.665,00;1.223,00;1.236,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11220100000000000000;1.1.2.2.01.0.0.00.00.00;201;767,99;2.183,19;2.481,00;1.502,98;1.805,00;1.144,00;1.113,48;1.665,00;1.223,00;1.236,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11220110000000000000;1.1.2.2.01.1.0.00.00.00;201;767,99;2.183,19;2.481,00;1.502,98;1.805,00;1.144,00;1.113,48;1.665,00;1.223,00;1.236,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11220111000000000000;1.1.2.2.01.1.1.00.00.00;201;760,00;2.179,83;2.481,00;1.502,00;1.805,00;1.144,00;1.113,00;1.665,00;1.223,00;1.236,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11220111010000000000;1.1.2.2.01.1.1.01.00.00;201;760,00;2.179,83;2.481,00;1.502,00;1.805,00;1.144,00;1.113,00;1.665,00;1.223,00;1.236,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11220112000000000000;1.1.2.2.01.1.2.00.00.00;201;0,00;3,36;0,00;0,98;0,00;0,00;0,48;0,00;0,00;0,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11220112010000000000;1.1.2.2.01.1.2.01.00.00;201;0,00;3,36;0,00;0,98;0,00;0,00;0,48;0,00;0,00;0,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11220113000000000000;1.1.2.2.01.1.3.00.00.00;201;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11220113010000000000;1.1.2.2.01.1.3.01.00.00;201;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11220114000000000000;1.1.2.2.01.1.4.00.00.00;201;0,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
11220114010000000000;1.1.2.2.01.1.4.01.00.00;201;0,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280000000000000000;1.1.2.8.00.0.0.00.00.00;201;1.087,28;3.150,47;3.017,11;2.642,43;3.293,68;4.400,37;4.235,74;5.170,93;22.821,16;6.618,87;0,00;0,00;6.838,02;6.838,02;6.838,02;6.838,02;6.838,02;6.838,03;0;0
11280100000000000000;1.1.2.8.01.0.0.00.00.00;201;1.087,28;3.150,47;3.017,11;2.642,43;3.293,68;4.400,37;4.235,74;5.170,93;22.821,16;6.618,87;0,00;0,00;6.838,02;6.838,02;6.838,02;6.838,02;6.838,02;6.838,03;0;0
11280110000000000000;1.1.2.8.01.1.0.00.00.00;201;248,65;242,00;605,00;0,00;0,00;121,00;242,00;363,00;484,00;363,00;0,00;0,00;871,38;871,38;871,38;871,38;871,38;871,42;0;0
11280111000000000000;1.1.2.8.01.1.1.00.00.00;201;121,00;242,00;605,00;0,00;0,00;121,00;242,00;363,00;484,00;363,00;0,00;0,00;871,38;871,38;871,38;871,38;871,38;871,42;0;1
11280113000000000000;1.1.2.8.01.1.3.00.00.00;201;112,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280114000000000000;1.1.2.8.01.1.4.00.00.00;201;15,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1
11280190000000000000;1.1.2.8.01.9.0.00.00.00;201;838,63;2.908,47;2.412,11;2.642,43;3.293,68;4.279,37;3.993,74;4.807,93;22.337,16;6.255,87;0,00;0,00;5.966,64;5.966,64;5.966,64;5.966,64;5.966,64;5.966,61;0;0
